wine_type,winetype_numeric,fixed acidity,residual sugar,density,alcohol,alcohol 1=low 2=high,fixed acidity 1=low 2=high,quality
red,1,4.7,2.3,0.9932,12.9,2,1,2
red,1,4.9,2.1,0.99154,14,2,1,2
red,1,5,1.6,0.9934,11.5,2,1,2
red,1,5,1.2,0.99258,12.5,2,1,2
red,1,5,4.3,0.9902,13.6,2,1,2
red,1,5,2,0.9917,14,2,1,2
red,1,5,1.6,0.99084,14,2,1,2
red,1,5.1,1.3,0.9921,12.8,2,1,2
red,1,5.1,2.1,0.9924,12.9,2,1,2
red,1,5.1,1.7,0.99264,12.9,2,1,2
red,1,5.1,1.8,0.99157,13.6,2,1,2
red,1,5.2,1.6,0.9927,12.2,2,1,2
red,1,5.2,2.3,0.9953,12.2,2,1,2
red,1,5.2,2.15,0.99444,12.5,2,1,2
red,1,5.2,1.8,0.9916,14,2,1,2
red,1,5.2,1.8,0.9916,14,2,1,2
red,1,5.3,1.5,0.99395,11,2,1,2
red,1,5.3,1.7,0.9934,12.5,2,1,2
red,1,5.4,2,0.99471,12.3,2,1,2
red,1,5.4,1.2,0.99258,12.5,2,1,2
red,1,5.4,1.2,0.9924,13,2,1,2
red,1,5.5,1.8,0.9908,14,2,1,2
red,1,5.6,2.1,0.99346,11.4,2,1,2
red,1,5.6,2.2,0.99378,12.8,2,1,2
red,1,5.6,2.2,0.99378,12.8,2,1,2
red,1,5.6,2.4,0.99258,12.9,2,1,2
red,1,5.6,2.5,0.99256,12.9,2,1,2
red,1,5.6,1.4,0.9924,12.9,2,1,2
red,1,5.6,2.3,0.9937,13,2,1,2
red,1,5.6,2.3,0.9937,13,2,1,2
red,1,5.7,1.4,0.99191,12.2,2,1,2
red,1,5.8,1.8,0.9944,10,2,1,2
red,1,5.8,2,0.99357,11.5,2,1,2
red,1,5.8,1.7,0.9915,13.5,2,1,2
red,1,5.9,13.4,0.99721,10.3,2,1,2
red,1,5.9,2.1,0.99376,11.1,2,1,2
red,1,5.9,2.1,0.99376,11.1,2,1,2
red,1,5.9,1.9,0.99385,11.2,2,1,2
red,1,5.9,1.6,0.9944,11.7,2,1,2
red,1,5.9,2.4,0.99362,12.4,2,1,2
red,1,6,1.8,0.99236,10.55,2,1,2
red,1,6,2.1,0.995,10.7,2,1,2
red,1,6,2.1,0.995,10.7,2,1,2
red,1,6,12.9,0.99572,11.5,2,1,2
red,1,6,2.3,0.99292,12.5,2,1,2
red,1,6.1,1.8,0.9955,10.1,2,1,2
red,1,6.1,1.7,0.99402,11.2,2,1,2
red,1,6.1,2.1,0.99472,11.4,2,1,2
red,1,6.1,2.2,0.9948,11.5,2,1,2
red,1,6.1,1.4,0.9912,11.9,2,1,2
red,1,6.1,2.5,0.99352,12.5,2,1,2
red,1,6.2,2.1,0.99664,10,2,1,2
red,1,6.2,2,0.99428,11.2,2,1,2
red,1,6.2,1.6,0.99425,11.4,2,1,2
red,1,6.2,2.2,0.9946,11.7,2,1,2
red,1,6.2,2.2,0.9946,11.7,2,1,2
red,1,6.3,1.8,0.9959,10.3,2,1,2
red,1,6.3,2,0.99437,11.2,2,1,2
red,1,6.3,2.9,0.99379,11.5,2,1,2
red,1,6.3,3.2,0.9956,12.7,2,1,2
red,1,6.3,2.1,0.99374,12.8,2,1,2
red,1,6.4,2.3,0.99724,10.4,2,1,2
red,1,6.4,2.4,0.9963,10.6,2,1,2
red,1,6.4,2.3,0.99551,10.8,2,1,2
red,1,6.4,3.9,0.9968,11,2,1,2
red,1,6.4,2.3,0.99519,11.3,2,1,2
red,1,6.4,2.2,0.99378,11.6,2,1,2
red,1,6.4,3.3,0.99294,12.2,2,1,2
red,1,6.4,1.65,0.99162,12.9,2,1,2
red,1,6.5,2.3,0.99551,10.8,2,1,2
red,1,6.5,1.6,0.99467,10.9,2,1,2
red,1,6.5,5.6,0.99572,11.2,2,1,2
red,1,6.5,2.2,0.99557,11.5,2,1,2
red,1,6.5,2.2,0.99541,11.5,2,1,2
red,1,6.5,4.3,0.99488,11.8,2,1,2
red,1,6.5,2.8,0.99384,12,2,1,2
red,1,6.5,8.3,0.9952,12.1,2,1,2
red,1,6.5,3,0.9929,12.8,2,1,2
red,1,6.6,3,0.99629,10.3,2,1,2
red,1,6.6,6.1,0.99718,10.3,2,1,2
red,1,6.6,1.9,0.99746,10.5,2,1,2
red,1,6.6,1.9,0.99746,10.5,2,1,2
red,1,6.6,1.6,0.9962,10.7,2,1,2
red,1,6.6,2.2,0.99544,11.4,2,1,2
red,1,6.6,1.7,0.9922,11.5,2,1,2
red,1,6.6,2,0.99374,11.6,2,1,2
red,1,6.6,7.8,0.9963,12.2,2,1,2
red,1,6.6,1.8,0.99352,12.3,2,1,2
red,1,6.6,2.3,0.9952,12.3,2,1,2
red,1,6.6,2.3,0.9952,12.3,2,1,2
red,1,6.6,2.7,0.9955,12.3,2,1,2
red,1,6.6,2.4,0.99358,12.5,2,1,2
red,1,6.6,2.4,0.99387,12.6,2,1,2
red,1,6.7,2,0.9958,10.1,2,1,2
red,1,6.7,2.4,0.9958,10.1,2,1,2
red,1,6.7,2.9,0.99669,10.2,2,1,2
red,1,6.7,1.7,0.9948,10.6,2,1,2
red,1,6.7,1.7,0.9948,10.6,2,1,2
red,1,6.7,1.7,0.9948,10.6,2,1,2
red,1,6.7,1.7,0.9948,10.6,2,1,2
red,1,6.7,2.8,0.99572,10.6,2,1,2
red,1,6.7,2.1,0.99538,10.9,2,1,2
red,1,6.7,2.1,0.99538,10.9,2,1,2
red,1,6.7,2.3,0.99648,11,2,1,2
red,1,6.7,8.6,0.9948,11.3,2,1,2
red,1,6.7,2,0.99598,11.7,2,1,2
red,1,6.7,2.4,0.9955,12.8,2,1,2
red,1,6.8,1.7,0.9968,10,2,1,2
red,1,6.8,8.8,0.99824,10.1,2,1,2
red,1,6.8,8.8,0.99824,10.1,2,1,2
red,1,6.8,2.1,0.9956,10.2,2,1,2
red,1,6.8,5.6,0.9997,10.2,2,1,2
red,1,6.8,5.6,0.9997,10.2,2,1,2
red,1,6.8,2.1,0.9953,10.4,2,1,2
red,1,6.8,2.3,0.99545,10.4,2,1,2
red,1,6.8,2.1,0.99498,10.4,2,1,2
red,1,6.8,2.1,0.99498,10.4,2,1,2
red,1,6.8,2.4,0.9966,10.7,2,1,2
red,1,6.8,3,0.9965,10.7,2,1,2
red,1,6.8,6,0.9962,10.8,2,1,2
red,1,6.8,6,0.9962,10.8,2,1,2
red,1,6.8,3.9,0.99524,11.1,2,1,2
red,1,6.8,4.8,0.99577,11.1,2,1,2
red,1,6.8,2.5,0.99491,11.2,2,1,2
red,1,6.8,1.8,0.99438,11.2,2,1,2
red,1,6.8,1.8,0.99438,11.2,2,1,2
red,1,6.8,2.7,0.99538,11.3,2,1,2
red,1,6.8,2.7,0.99538,11.3,2,1,2
red,1,6.8,2.3,0.99438,11.3,2,1,2
red,1,6.8,1.8,0.9928,12.8,2,1,2
red,1,6.8,1.8,0.9928,12.8,2,1,2
red,1,6.9,2.5,0.9959,10,2,1,2
red,1,6.9,2.2,0.9961,10.1,2,1,2
red,1,6.9,2.4,0.9964,10.1,2,1,2
red,1,6.9,2.3,0.9959,10.2,2,1,2
red,1,6.9,2.4,0.9961,10.3,2,1,2
red,1,6.9,2.4,0.99612,10.3,2,1,2
red,1,6.9,2.2,0.99725,10.5,2,1,2
red,1,6.9,2.5,0.9966,10.6,2,1,2
red,1,6.9,1.5,0.99522,10.6,2,1,2
red,1,6.9,2.8,0.99518,10.8,2,1,2
red,1,6.9,2.4,0.99522,10.8,2,1,2
red,1,6.9,2.6,0.99685,11,2,1,2
red,1,6.9,2.6,0.99685,11,2,1,2
red,1,6.9,2.2,0.9949,11.1,2,1,2
red,1,6.9,2,0.99438,11.2,2,1,2
red,1,6.9,2.1,0.99462,11.4,2,1,2
red,1,6.9,1.4,0.99438,11.4,2,1,2
red,1,6.9,2.4,0.99354,11.4,2,1,2
red,1,7,1.8,0.99672,10,2,1,2
red,1,7,2.4,0.99556,10.1,2,1,2
red,1,7,2.3,0.99558,10.1,2,1,2
red,1,7,2.2,0.9966,10.2,2,1,2
red,1,7,4.5,0.99914,10.2,2,1,2
red,1,7,4.5,0.99914,10.2,2,1,2
red,1,7,1.8,0.99636,10.4,2,1,2
red,1,7,2.1,0.99584,10.5,2,1,2
red,1,7,5.6,0.9974,10.5,2,1,2
red,1,7,2.3,0.99476,10.9,2,1,2
red,1,7,4.8,0.99633,11,2,1,2
red,1,7,1.6,0.9952,11.1,2,1,2
red,1,7,2.5,0.99572,11.3,2,1,2
red,1,7,2.5,0.99572,11.3,2,1,2
red,1,7,2.5,0.99572,11.3,2,1,2
red,1,7,2.5,0.9962,11.4,2,1,2
red,1,7,2.1,0.9956,11.4,2,1,2
red,1,7,2,0.99479,11.5,2,1,2
red,1,7.1,2.8,0.99682,10.3,2,1,2
red,1,7.1,1.8,0.99634,10.4,2,1,2
red,1,7.1,1.8,0.99634,10.4,2,1,2
red,1,7.1,1.9,0.9956,10.4,2,1,2
red,1,7.1,1.9,0.9956,10.4,2,1,2
red,1,7.1,5.5,0.9973,10.5,2,1,2
red,1,7.1,5.5,0.9973,10.5,2,1,2
red,1,7.1,5.5,0.9973,10.5,2,1,2
red,1,7.1,5.5,0.9973,10.5,2,1,2
red,1,7.1,2.3,0.9955,10.7,2,1,2
red,1,7.1,2.3,0.9955,10.7,2,1,2
red,1,7.1,2.2,0.99522,10.8,2,1,2
red,1,7.1,2.2,0.99517,10.9,2,1,2
red,1,7.1,2.3,0.99514,10.9,2,1,2
red,1,7.1,2.3,0.99514,10.9,2,1,2
red,1,7.1,4.4,0.997,11,2,1,2
red,1,7.1,2.5,0.9962,11,2,1,2
red,1,7.1,2.1,0.99488,11.5,2,1,2
red,1,7.1,2.5,0.99328,12.4,2,1,2
red,1,7.1,2.4,0.99318,12.7,2,1,2
red,1,7.1,2.1,0.99252,13.3,2,1,2
red,1,7.2,2,0.99608,10,2,1,2
red,1,7.2,2.3,0.99568,10,2,1,2
red,1,7.2,1.7,0.996,10,2,1,2
red,1,7.2,2.5,0.99586,10.1,2,1,2
red,1,7.2,2,0.99576,10.1,2,1,2
red,1,7.2,2.3,0.99564,10.3,2,1,2
red,1,7.2,2.3,0.99564,10.3,2,1,2
red,1,7.2,2.6,0.9964,11,2,1,2
red,1,7.2,2.1,0.99534,11,2,1,2
red,1,7.2,2.1,0.99534,11,2,1,2
red,1,7.2,2.1,0.99534,11,2,1,2
red,1,7.2,2.1,0.99534,11,2,1,2
red,1,7.2,2.2,0.9956,11.1,2,1,2
red,1,7.2,2.5,0.9966,11.1,2,1,2
red,1,7.2,5.5,0.99684,11.2,2,1,2
red,1,7.2,2,0.9947,11.3,2,1,2
red,1,7.2,2,0.9947,11.3,2,1,2
red,1,7.2,2,0.99472,11.3,2,1,2
red,1,7.2,2.3,0.99332,11.8,2,1,2
red,1,7.2,1.9,0.995,11.8,2,1,2
red,1,7.2,2.1,0.99323,12.1,2,1,2
red,1,7.2,2.5,0.99439,12.4,2,1,2
red,1,7.2,2.8,0.99356,12.9,2,1,2
red,1,7.3,2,0.99576,10,2,1,2
red,1,7.3,2.1,0.99728,10,2,1,2
red,1,7.3,2.1,0.99728,10,2,1,2
red,1,7.3,2.3,0.99588,10.1,2,1,2
red,1,7.3,3.6,0.9972,10.1,2,1,2
red,1,7.3,2.4,0.9968,10.2,2,1,2
red,1,7.3,2.1,0.9958,10.3,2,1,2
red,1,7.3,5.9,0.9978,10.5,2,1,2
red,1,7.3,5.9,0.9978,10.5,2,1,2
red,1,7.3,1.8,0.99514,11,2,1,2
red,1,7.3,2.5,0.9966,11,2,1,2
red,1,7.3,2.5,0.9966,11,2,1,2
red,1,7.3,2.2,0.99566,11.06666667,2,1,2
red,1,7.3,2.5,0.99648,11.1,2,1,2
red,1,7.3,2.2,0.99566,11.1,2,1,2
red,1,7.3,1.2,0.99331,11.5,2,1,2
red,1,7.3,1.2,0.99331,11.5,2,1,2
red,1,7.3,1.6,0.9935,11.7,2,1,2
red,1,7.3,2.5,0.9952,12.1,2,1,2
red,1,7.3,2.1,0.99418,12.9,2,1,2
red,1,7.4,2.2,0.99756,10.2,2,1,2
red,1,7.4,1.8,0.9956,10.4,2,1,2
red,1,7.4,3,0.9966,10.5,2,1,2
red,1,7.4,1.8,0.99655,10.5,2,1,2
red,1,7.4,1.8,0.99655,10.5,2,1,2
red,1,7.4,4.25,0.9966,10.7,2,1,2
red,1,7.4,2.4,0.99528,10.8,2,1,2
red,1,7.4,2.4,0.99736,10.8,2,1,2
red,1,7.4,2.4,0.99736,10.8,2,1,2
red,1,7.4,2.6,0.99645,11,2,1,2
red,1,7.4,2,0.99562,11.3,2,1,2
red,1,7.4,1.9,0.9961,11.5,2,1,2
red,1,7.4,2.1,0.99388,12,2,1,2
red,1,7.4,2.1,0.99388,12,2,1,2
red,1,7.4,1.8,0.9933,13.6,2,1,2
red,1,7.5,1.6,0.99635,10,2,1,2
red,1,7.5,2.4,0.9965,10,2,1,2
red,1,7.5,1.8,0.995,10.1,2,1,2
red,1,7.5,1.8,0.995,10.1,2,1,2
red,1,7.5,3,0.9967,10.3,2,1,2
red,1,7.5,2.6,0.99592,10.4,2,1,2
red,1,7.5,1.7,0.99538,10.5,2,1,2
red,1,7.5,1.7,0.99538,10.5,2,1,2
red,1,7.5,1.7,0.99538,10.5,2,1,2
red,1,7.5,1.7,0.99538,10.5,2,1,2
red,1,7.5,2.3,0.9972,10.5,2,1,2
red,1,7.5,6.1,0.9978,10.5,2,1,2
red,1,7.5,6.1,0.9978,10.5,2,1,2
red,1,7.5,2.6,0.9968,10.5,2,1,2
red,1,7.5,2.6,0.9965,10.7,2,1,2
red,1,7.5,2.6,0.99557,10.8,2,1,2
red,1,7.5,2.6,0.99557,10.8,2,1,2
red,1,7.5,2.5,0.99632,10.9,2,1,2
red,1,7.5,2.3,0.9951,11,2,1,2
red,1,7.5,3.1,0.9958,11.2,2,1,2
red,1,7.5,2.2,0.99495,11.5,2,1,2
red,1,7.5,3.1,0.99476,11.6,2,1,2
red,1,7.6,2.6,0.9968,10,2,1,2
red,1,7.6,2.7,0.9968,10,2,1,2
red,1,7.6,2.7,0.9971,10.1,2,1,2
red,1,7.6,2.8,0.9955,10.2,2,1,2
red,1,7.6,2.8,0.99693,10.3,2,1,2
red,1,7.6,1.7,0.99589,10.4,2,1,2
red,1,7.6,3,0.9964,10.5,2,1,2
red,1,7.6,1.7,0.99612,10.7,2,1,2
red,1,7.6,2,0.99578,10.9,2,1,2
red,1,7.6,1.9,0.99521,11,2,1,2
red,1,7.6,2.5,0.9957,11.2,2,1,2
red,1,7.6,2.1,0.99533,11.4,2,1,2
red,1,7.6,2.3,0.99502,11.5,2,1,2
red,1,7.6,2.5,0.99538,11.7,2,1,2
red,1,7.6,2,0.9963,11.9,2,1,2
red,1,7.6,2.7,0.99538,12.2,2,1,2
red,1,7.6,2.5,0.99356,12.5,2,1,2
red,1,7.7,2,0.99697,10.1,2,1,2
red,1,7.7,2.4,0.9963,10.2,2,1,2
red,1,7.7,2.2,0.9964,10.2,2,1,2
red,1,7.7,1.8,0.99568,10.5,2,1,2
red,1,7.7,1.8,0.99568,10.5,2,1,2
red,1,7.7,2.6,0.99615,10.5,2,1,2
red,1,7.7,2.6,0.99615,10.5,2,1,2
red,1,7.7,2.6,0.99639,10.8,2,1,2
red,1,7.7,2,0.9951,10.9,2,1,2
red,1,7.7,2,0.9952,11.3,2,1,2
red,1,7.7,2.1,0.99371,11.8,2,1,2
red,1,7.7,2.1,0.99371,11.8,2,1,2
red,1,7.7,2.7,0.9947,11.8,2,1,2
red,1,7.7,1.8,0.9971,12.1,2,1,2
red,1,7.8,1.7,0.9964,10,2,1,2
red,1,7.8,2.3,0.9975,10,2,1,2
red,1,7.8,6,0.9984,10.1,2,1,2
red,1,7.8,2.8,0.9974,10.3,2,1,2
red,1,7.8,1.9,0.9959,10.4,2,1,2
red,1,7.8,2.4,0.9975,10.8,2,1,2
red,1,7.8,2.6,0.99621,10.8,2,1,2
red,1,7.8,1.9,0.99628,10.9,2,1,2
red,1,7.8,1.9,0.9962,11,2,1,2
red,1,7.8,2.7,0.99732,11,2,1,2
red,1,7.8,2.1,0.9944,11.2,2,1,2
red,1,7.8,2.5,0.996,11.6,2,1,2
red,1,7.8,2,0.99526,11.6,2,1,2
red,1,7.8,2.3,0.99417,12.7,2,1,2
red,1,7.9,4,0.9965,10.7,2,1,2
red,1,7.9,4,0.9965,10.7,2,1,2
red,1,7.9,2,0.99619,10.9,2,1,2
red,1,7.9,1.5,0.99396,11,2,1,2
red,1,7.9,1.9,0.99419,11.2,2,1,2
red,1,7.9,1.6,0.994,11.2,2,1,2
red,1,7.9,2.2,0.996,11.3,2,1,2
red,1,7.9,2,0.99546,11.4,2,1,2
red,1,7.9,2.5,0.9963,11.7,2,1,2
red,1,7.9,1.7,0.99458,11.9,2,1,2
red,1,7.9,2.9,0.9974,12.1,2,1,2
red,1,7.9,8.3,0.99316,12.3,2,1,2
red,1,7.9,8.3,0.99316,12.3,2,1,2
red,1,7.9,1.9,0.99364,12.6,2,1,2
red,1,7.9,3.6,0.9973,12.8,2,1,2
red,1,7.9,2.5,0.99235,13.1,2,1,2
red,1,8,2.8,0.99685,10,2,1,2
red,1,8,1.7,0.99575,10,2,1,2
red,1,8,2,0.99735,10,2,1,2
red,1,8,2,0.9958,10.2,2,1,2
red,1,8,1.8,0.9962,10.5,2,1,2
red,1,8,1.9,0.9962,10.5,2,1,2
red,1,8,2.7,0.9972,10.7,2,1,2
red,1,8,2.6,0.9985,10.7,2,1,2
red,1,8,2.8,0.997,10.8,2,1,2
red,1,8,2.4,0.99612,11,2,1,2
red,1,8,2,0.99454,11.2,2,1,2
red,1,8,1.8,0.99501,11.2,2,1,2
red,1,8,1.9,0.9956,11.4,2,1,2
red,1,8,1.7,0.9946,11.9,2,1,2
red,1,8,2.2,0.9936,12.4,2,1,2
red,1,8,2.1,0.99358,12.5,2,1,2
red,1,8.1,2.2,0.9968,10.3,2,1,2
red,1,8.1,2.1,0.9972,10.7,2,1,2
red,1,8.1,2.8,0.9994,11.1,2,1,2
red,1,8.1,2.6,0.997,11.3,2,1,2
red,1,8.1,2.6,0.997,11.3,2,1,2
red,1,8.1,2.2,0.995,12.4,2,1,2
red,1,8.2,2.3,0.99613,10.2,2,1,2
red,1,8.2,1.6,0.99603,10.3,2,1,2
red,1,8.2,2.5,0.99672,10.4,2,1,2
red,1,8.2,2.8,0.9975,10.5,2,1,2
red,1,8.2,1.9,0.996,10.6,2,1,2
red,1,8.2,2.1,0.99638,10.9,2,1,2
red,1,8.2,2.1,0.99638,10.9,2,1,2
red,1,8.2,5.1,0.9974,10.9,2,1,2
red,1,8.2,5.1,0.9974,10.9,2,1,2
red,1,8.2,2.4,0.99599,11,2,1,2
red,1,8.2,2.4,0.99599,11,2,1,2
red,1,8.2,2.5,0.99624,11,2,1,2
red,1,8.2,2.2,0.99536,11.2,2,1,2
red,1,8.2,2.5,0.99594,11.3,2,1,2
red,1,8.2,2,0.99418,11.8,2,1,2
red,1,8.2,1.9,0.99408,12,2,1,2
red,1,8.2,1.9,0.99376,12.3,2,1,2
red,1,8.2,2.3,0.99506,12.3,2,1,2
red,1,8.2,2.5,0.99528,12.4,2,1,2
red,1,8.2,2.4,0.99356,12.8,2,1,2
red,1,8.2,2.4,0.99356,12.8,2,1,2
red,1,8.2,2.8,0.99473,12.8,2,1,2
red,1,8.3,2.6,0.9983,10,2,1,2
red,1,8.3,1.9,0.9978,10,2,1,2
red,1,8.3,1.4,0.99593,10,2,1,2
red,1,8.3,2.6,0.9994,10,2,1,2
red,1,8.3,2.5,0.99724,10.1,2,1,2
red,1,8.3,2.1,0.9972,10.2,2,1,2
red,1,8.3,3.4,0.99788,10.5,2,1,2
red,1,8.3,2.5,0.9979,10.8,2,1,2
red,1,8.3,2.2,0.9967,11,2,1,2
red,1,8.3,2.4,0.99554,11,2,1,2
red,1,8.3,4.2,0.9965,11.5,2,1,2
red,1,8.3,3.8,0.99498,12.1,2,1,2
red,1,8.3,2.1,0.99408,12.4,2,1,2
red,1,8.3,2.1,0.99408,12.4,2,1,2
red,1,8.3,2.4,0.99444,12.5,2,1,2
red,1,8.3,2.4,0.99444,12.5,2,1,2
red,1,8.3,2.3,0.99426,12.7,2,1,2
red,1,8.4,2,0.99745,10.4,2,1,2
red,1,8.4,1.7,0.99603,10.5,2,1,2
red,1,8.4,2.1,0.9958,11,2,1,2
red,1,8.4,2.2,0.9964,11,2,1,2
red,1,8.4,2.2,0.9964,11,2,1,2
red,1,8.4,1.8,0.99504,11.8,2,1,2
red,1,8.4,1.8,0.99504,11.8,2,1,2
red,1,8.4,3.1,0.99536,12,2,1,2
red,1,8.4,2.1,0.99392,12.4,2,1,2
red,1,8.4,2,0.99386,12.5,2,1,2
red,1,8.5,1.9,0.99648,10.4,2,1,2
red,1,8.5,1.8,0.9969,10.5,2,1,2
red,1,8.5,1.7,0.99605,10.7,2,1,2
red,1,8.5,1.9,0.99518,11.1,2,1,2
red,1,8.5,1.9,0.99518,11.1,2,1,2
red,1,8.5,4.7,0.99738,11.6,2,1,2
red,1,8.5,2.3,0.99434,11.8,2,1,2
red,1,8.5,1.8,0.99456,11.8,2,1,2
red,1,8.5,1.7,0.99524,11.8,2,1,2
red,1,8.5,1.75,0.99524,11.8,2,1,2
red,1,8.5,6.3,0.99566,12,2,1,2
red,1,8.6,2,0.99815,10,2,1,2
red,1,8.6,2,0.9967,10.2,2,1,2
red,1,8.6,2.8,0.99822,10.4,2,1,2
red,1,8.6,6.4,0.99817,11,2,1,2
red,1,8.6,6.4,0.99817,11,2,1,2
red,1,8.6,1.9,0.99604,11,2,1,2
red,1,8.6,2.3,0.99516,11.2,2,1,2
red,1,8.6,2.3,0.99516,11.2,2,1,2
red,1,8.6,1.8,0.99516,11.7,2,1,2
red,1,8.6,2.2,0.99512,11.9,2,1,2
red,1,8.7,1.4,0.9966,10.1,2,1,2
red,1,8.7,2.7,0.99734,10.2,2,1,2
red,1,8.7,2.5,0.9976,10.6,2,1,2
red,1,8.7,2.5,0.9976,10.6,2,1,2
red,1,8.7,2,0.9962,11,2,1,2
red,1,8.7,2.8,0.9964,11.2,2,1,2
red,1,8.7,3,1.0002,11.6,2,1,2
red,1,8.7,3,1.0002,11.6,2,1,2
red,1,8.7,3.3,0.99468,12,2,1,2
red,1,8.7,2.4,0.99617,12,2,1,2
red,1,8.7,6.2,0.9953,12.6,2,1,2
red,1,8.8,4,0.99787,10,2,1,2
red,1,8.8,4,0.99787,10,2,1,2
red,1,8.8,1.7,0.99701,10,2,1,2
red,1,8.8,1.4,0.99551,10.2,2,1,2
red,1,8.8,3.3,0.9982,10.5,2,1,2
red,1,8.8,2.2,0.9986,10.5,2,1,2
red,1,8.8,2.2,0.9986,10.5,2,1,2
red,1,8.8,2.2,0.9962,10.9,2,1,2
red,1,8.8,2.2,0.9962,10.9,2,1,2
red,1,8.8,2,0.99546,11.2,2,1,2
red,1,8.8,2.1,0.99488,11.3,2,1,2
red,1,8.8,1.7,0.99394,11.3,2,1,2
red,1,8.8,2.3,0.99543,11.8,2,1,2
red,1,8.8,2.3,0.99543,11.8,2,1,2
red,1,8.8,2.8,0.99614,11.8,2,1,2
red,1,8.8,5.9,0.99658,12.1,2,1,2
red,1,8.8,2.6,0.9947,14,2,1,2
red,1,8.9,2.3,0.9986,10.3,2,1,2
red,1,8.9,1.9,0.997,10.3,2,1,2
red,1,8.9,2,0.9957,10.4,2,1,2
red,1,8.9,2.5,0.99824,10.5,2,1,2
red,1,8.9,5.6,0.9991,10.5,2,1,2
red,1,8.9,5.6,0.9991,10.5,2,1,2
red,1,8.9,2.2,0.99692,11.1,2,1,2
red,1,8.9,2.2,0.99692,11.1,2,1,2
red,1,8.9,3.45,0.9994,11.5,2,1,2
red,1,8.9,2.6,0.99562,11.8,2,1,2
red,1,8.9,1.8,0.99552,11.9,2,1,2
red,1,8.9,1.8,0.99552,11.9,2,1,2
red,1,8.9,1.8,0.99552,11.9,2,1,2
red,1,8.9,3.6,0.99549,12,2,1,2
red,1,8.9,4,0.99586,12.1,2,1,2
red,1,8.9,4,0.99586,12.1,2,1,2
red,1,8.9,1.7,0.99354,12.3,2,1,2
red,1,8.9,1.9,0.9948,12.5,2,1,2
red,1,8.9,2.2,0.99486,12.6,2,1,2
red,1,8.9,2.6,0.995,13.4,2,1,2
red,1,9,2.4,0.99814,10,2,1,2
red,1,9,2,0.99654,10,2,1,2
red,1,9,1.7,0.99692,10,2,1,2
red,1,9,1.7,0.99692,10,2,1,2
red,1,9,3,0.9976,10.4,2,1,2
