wine_type,winetype_numeric,fixed acidity,residual sugar,density,pH,sulphates,alcohol,sulphates 1=low 2=high,alcohol 1=low 2=high,fixed acidity 1=low 2=high,healthiness,quality
red,1,8.6,3.3,0.99735,3.23,0.44,10,1,2,1,1,2
red,1,9.8,1.65,0.99478,3.19,0.46,11.4,1,2,1,1,2
red,1,4.6,2.1,0.9934,3.9,0.56,13.1,2,2,1,2,2
red,1,4.7,2.3,0.9932,3.85,0.6,12.9,2,2,1,2,2
red,1,4.9,2.1,0.99154,3.71,0.74,14,2,2,1,2,2
red,1,5,1.6,0.9934,3.74,0.62,11.5,2,2,1,2,2
red,1,5,1.2,0.99258,4.01,0.59,12.5,2,2,1,2,2
red,1,5,4.3,0.9902,3.49,0.66,13.6,2,2,1,2,2
red,1,5,2,0.9917,3.72,0.74,14,2,2,1,2,2
red,1,5,1.6,0.99084,3.7,0.75,14,2,2,1,2,2
red,1,5.1,1.3,0.9921,3.9,0.62,12.8,2,2,1,2,2
red,1,5.1,2.1,0.9924,3.46,0.87,12.9,2,2,1,2,2
red,1,5.1,1.7,0.99264,3.56,0.94,12.9,2,2,1,2,2
red,1,5.1,1.8,0.99157,3.68,0.73,13.6,2,2,1,2,2
red,1,5.2,1.6,0.9927,3.54,0.62,12.2,2,2,1,2,2
red,1,5.2,2.3,0.9953,3.71,0.62,12.2,2,2,1,2,2
red,1,5.2,2.15,0.99444,3.78,0.61,12.5,2,2,1,2,2
red,1,5.2,1.8,0.9916,3.68,0.79,14,2,2,1,2,2
red,1,5.2,1.8,0.9916,3.68,0.79,14,2,2,1,2,2
red,1,5.3,1.5,0.99395,3.62,0.61,11,2,2,1,2,2
red,1,5.3,1.7,0.9934,3.57,0.84,12.5,2,2,1,2,2
red,1,5.4,2,0.99471,3.78,0.64,12.3,2,2,1,2,2
red,1,5.4,1.2,0.99258,4.01,0.59,12.5,2,2,1,2,2
red,1,5.4,1.2,0.9924,3.57,0.85,13,2,2,1,2,2
red,1,5.5,1.8,0.9908,3.5,0.82,14,2,2,1,2,2
red,1,5.6,2.1,0.99346,3.68,0.73,11.4,2,2,1,2,2
red,1,5.6,2.2,0.99378,3.71,0.63,12.8,2,2,1,2,2
red,1,5.6,2.2,0.99378,3.71,0.63,12.8,2,2,1,2,2
red,1,5.6,2.4,0.99258,3.56,0.55,12.9,2,2,1,2,2
red,1,5.6,2.5,0.99256,3.52,0.58,12.9,2,2,1,2,2
red,1,5.6,1.4,0.9924,3.56,0.82,12.9,2,2,1,2,2
red,1,5.6,2.3,0.9937,3.63,0.63,13,2,2,1,2,2
red,1,5.6,2.3,0.9937,3.63,0.63,13,2,2,1,2,2
red,1,5.7,1.4,0.99191,3.45,0.56,12.2,2,2,1,2,2
red,1,5.8,1.8,0.9944,3.54,0.52,10,2,2,1,2,2
red,1,5.8,2,0.99357,3.66,0.6,11.5,2,2,1,2,2
red,1,5.8,1.7,0.9915,3.39,0.54,13.5,2,2,1,2,2
red,1,5.9,13.4,0.99721,3.33,0.54,10.3,2,2,1,2,2
red,1,5.9,2.1,0.99376,3.56,0.77,11.1,2,2,1,2,2
red,1,5.9,2.1,0.99376,3.56,0.77,11.1,2,2,1,2,2
red,1,5.9,1.9,0.99385,3.5,0.53,11.2,2,2,1,2,2
red,1,5.9,1.6,0.9944,3.48,0.85,11.7,2,2,1,2,2
red,1,5.9,2.4,0.99362,3.62,0.67,12.4,2,2,1,2,2
red,1,6,1.8,0.99236,3.3,0.5,10.55,2,2,1,2,2
red,1,6,2.1,0.995,3.54,0.93,10.7,2,2,1,2,2
red,1,6,2.1,0.995,3.54,0.93,10.7,2,2,1,2,2
red,1,6,12.9,0.99572,3.3,0.56,11.5,2,2,1,2,2
red,1,6,2.3,0.99292,3.58,0.59,12.5,2,2,1,2,2
red,1,6.1,1.8,0.9955,3.42,0.74,10.1,2,2,1,2,2
red,1,6.1,1.7,0.99402,3.45,0.54,11.2,2,2,1,2,2
red,1,6.1,2.1,0.99472,3.52,0.56,11.4,2,2,1,2,2
red,1,6.1,2.2,0.9948,3.59,0.54,11.5,2,2,1,2,2
red,1,6.1,1.4,0.9912,3.25,0.59,11.9,2,2,1,2,2
red,1,6.1,2.5,0.99352,3.46,0.65,12.5,2,2,1,2,2
red,1,6.2,2.1,0.99664,3.59,0.61,10,2,2,1,2,2
red,1,6.2,2,0.99428,3.45,0.87,11.2,2,2,1,2,2
red,1,6.2,1.6,0.99425,3.61,0.54,11.4,2,2,1,2,2
red,1,6.2,2.2,0.9946,3.57,0.57,11.7,2,2,1,2,2
red,1,6.2,2.2,0.9946,3.57,0.57,11.7,2,2,1,2,2
red,1,6.3,1.8,0.9959,3.44,0.78,10.3,2,2,1,2,2
red,1,6.3,2,0.99437,3.59,0.55,11.2,2,2,1,2,2
red,1,6.3,2.9,0.99379,3.51,0.6,11.5,2,2,1,2,2
red,1,6.3,3.2,0.9956,3.56,0.52,12.7,2,2,1,2,2
red,1,6.3,2.1,0.99374,3.41,0.6,12.8,2,2,1,2,2
red,1,6.4,2.3,0.99724,3.41,0.68,10.4,2,2,1,2,2
red,1,6.4,2.4,0.9963,3.56,0.73,10.6,2,2,1,2,2
red,1,6.4,2.3,0.99551,3.56,0.51,10.8,2,2,1,2,2
red,1,6.4,3.9,0.9968,3.5,0.67,11,2,2,1,2,2
red,1,6.4,2.3,0.99519,3.47,0.71,11.3,2,2,1,2,2
red,1,6.4,2.2,0.99378,3.49,0.52,11.6,2,2,1,2,2
red,1,6.4,3.3,0.99294,3.36,0.62,12.2,2,2,1,2,2
red,1,6.4,1.65,0.99162,3.47,0.53,12.9,2,2,1,2,2
red,1,6.5,2.3,0.99551,3.56,0.51,10.8,2,2,1,2,2
red,1,6.5,1.6,0.99467,3.5,0.63,10.9,2,2,1,2,2
red,1,6.5,5.6,0.99572,3.58,0.5,11.2,2,2,1,2,2
red,1,6.5,2.2,0.99557,3.62,0.62,11.5,2,2,1,2,2
red,1,6.5,2.2,0.99541,3.61,0.7,11.5,2,2,1,2,2
red,1,6.5,4.3,0.99488,3.45,0.56,11.8,2,2,1,2,2
red,1,6.5,2.8,0.99384,3.21,0.56,12,2,2,1,2,2
red,1,6.5,8.3,0.9952,3.44,0.55,12.1,2,2,1,2,2
red,1,6.5,3,0.9929,3.33,0.59,12.8,2,2,1,2,2
red,1,6.6,3,0.99629,3.45,0.63,10.3,2,2,1,2,2
red,1,6.6,6.1,0.99718,3.35,0.68,10.3,2,2,1,2,2
red,1,6.6,1.9,0.99746,3.69,0.73,10.5,2,2,1,2,2
red,1,6.6,1.9,0.99746,3.69,0.73,10.5,2,2,1,2,2
red,1,6.6,1.6,0.9962,3.44,0.58,10.7,2,2,1,2,2
red,1,6.6,2.2,0.99544,3.59,0.68,11.4,2,2,1,2,2
red,1,6.6,1.7,0.9922,3.12,0.5,11.5,2,2,1,2,2
red,1,6.6,2,0.99374,3.35,0.76,11.6,2,2,1,2,2
red,1,6.6,7.8,0.9963,3.52,0.5,12.2,2,2,1,2,2
red,1,6.6,1.8,0.99352,3.44,0.55,12.3,2,2,1,2,2
red,1,6.6,2.3,0.9952,3.52,0.56,12.3,2,2,1,2,2
red,1,6.6,2.3,0.9952,3.52,0.56,12.3,2,2,1,2,2
red,1,6.6,2.7,0.9955,3.58,0.89,12.3,2,2,1,2,2
red,1,6.6,2.4,0.99358,3.4,0.72,12.5,2,2,1,2,2
red,1,6.6,2.4,0.99387,3.38,0.66,12.6,2,2,1,2,2
red,1,6.7,2,0.9958,3.38,0.52,10.1,2,2,1,2,2
red,1,6.7,2.4,0.9958,3.35,0.54,10.1,2,2,1,2,2
red,1,6.7,2.9,0.99669,3.46,0.61,10.2,2,2,1,2,2
red,1,6.7,1.7,0.9948,3.39,0.6,10.6,2,2,1,2,2
red,1,6.7,1.7,0.9948,3.39,0.6,10.6,2,2,1,2,2
red,1,6.7,1.7,0.9948,3.39,0.6,10.6,2,2,1,2,2
red,1,6.7,1.7,0.9948,3.39,0.6,10.6,2,2,1,2,2
red,1,6.7,2.8,0.99572,3.42,1.16,10.6,2,2,1,2,2
red,1,6.7,2.1,0.99538,3.36,0.7,10.9,2,2,1,2,2
red,1,6.7,2.1,0.99538,3.36,0.7,10.9,2,2,1,2,2
red,1,6.7,2.3,0.99648,3.52,0.57,11,2,2,1,2,2
red,1,6.7,8.6,0.9948,3.16,0.57,11.3,2,2,1,2,2
red,1,6.7,2,0.99598,3.6,0.74,11.7,2,2,1,2,2
red,1,6.7,2.4,0.9955,3.55,0.61,12.8,2,2,1,2,2
red,1,6.8,1.7,0.9968,3.44,0.63,10,2,2,1,2,2
red,1,6.8,8.8,0.99824,3.38,0.64,10.1,2,2,1,2,2
red,1,6.8,8.8,0.99824,3.38,0.64,10.1,2,2,1,2,2
red,1,6.8,2.1,0.9956,3.34,0.52,10.2,2,2,1,2,2
red,1,6.8,5.6,0.9997,3.46,0.72,10.2,2,2,1,2,2
red,1,6.8,5.6,0.9997,3.46,0.72,10.2,2,2,1,2,2
red,1,6.8,2.1,0.9953,3.47,0.55,10.4,2,2,1,2,2
red,1,6.8,2.3,0.99545,3.36,0.58,10.4,2,2,1,2,2
red,1,6.8,2.1,0.99498,3.35,0.62,10.4,2,2,1,2,2
red,1,6.8,2.1,0.99498,3.35,0.62,10.4,2,2,1,2,2
red,1,6.8,2.4,0.9966,3.52,0.55,10.7,2,2,1,2,2
red,1,6.8,3,0.9965,3.45,0.56,10.7,2,2,1,2,2
red,1,6.8,6,0.9962,3.41,0.59,10.8,2,2,1,2,2
red,1,6.8,6,0.9962,3.41,0.59,10.8,2,2,1,2,2
red,1,6.8,3.9,0.99524,3.41,0.52,11.1,2,2,1,2,2
red,1,6.8,4.8,0.99577,3.53,0.54,11.1,2,2,1,2,2
red,1,6.8,2.5,0.99491,3.43,0.56,11.2,2,2,1,2,2
red,1,6.8,1.8,0.99438,3.4,0.82,11.2,2,2,1,2,2
red,1,6.8,1.8,0.99438,3.4,0.82,11.2,2,2,1,2,2
red,1,6.8,2.7,0.99538,3.44,0.63,11.3,2,2,1,2,2
red,1,6.8,2.7,0.99538,3.44,0.63,11.3,2,2,1,2,2
red,1,6.8,2.3,0.99438,3.41,0.83,11.3,2,2,1,2,2
red,1,6.8,1.8,0.9928,3.36,0.55,12.8,2,2,1,2,2
red,1,6.8,1.8,0.9928,3.36,0.55,12.8,2,2,1,2,2
red,1,6.9,2.5,0.9959,3.26,0.58,10,2,2,1,2,2
red,1,6.9,2.2,0.9961,3.41,0.59,10.1,2,2,1,2,2
red,1,6.9,2.4,0.9964,3.41,0.6,10.1,2,2,1,2,2
red,1,6.9,2.3,0.9959,3.42,0.58,10.2,2,2,1,2,2
red,1,6.9,2.4,0.9961,3.4,0.59,10.3,2,2,1,2,2
red,1,6.9,2.4,0.99612,3.4,0.6,10.3,2,2,1,2,2
red,1,6.9,2.2,0.99725,3.25,1.18,10.5,2,2,1,2,2
red,1,6.9,2.5,0.9966,3.46,0.57,10.6,2,2,1,2,2
red,1,6.9,1.5,0.99522,3.53,0.57,10.6,2,2,1,2,2
red,1,6.9,2.8,0.99518,3.41,0.52,10.8,2,2,1,2,2
red,1,6.9,2.4,0.99522,3.34,0.53,10.8,2,2,1,2,2
red,1,6.9,2.6,0.99685,3.46,0.5,11,2,2,1,2,2
red,1,6.9,2.6,0.99685,3.46,0.5,11,2,2,1,2,2
red,1,6.9,2.2,0.9949,3.41,0.75,11.1,2,2,1,2,2
red,1,6.9,2,0.99438,3.4,0.84,11.2,2,2,1,2,2
red,1,6.9,2.1,0.99462,3.44,0.58,11.4,2,2,1,2,2
red,1,6.9,1.4,0.99438,3.32,0.58,11.4,2,2,1,2,2
red,1,6.9,2.4,0.99354,3.3,0.65,11.4,2,2,1,2,2
red,1,7,1.8,0.99672,3.61,0.82,10,2,2,1,2,2
red,1,7,2.4,0.99556,3.4,0.53,10.1,2,2,1,2,2
red,1,7,2.3,0.99558,3.4,0.54,10.1,2,2,1,2,2
red,1,7,2.2,0.9966,3.52,0.62,10.2,2,2,1,2,2
red,1,7,4.5,0.99914,3.3,1.17,10.2,2,2,1,2,2
red,1,7,4.5,0.99914,3.3,1.17,10.2,2,2,1,2,2
red,1,7,1.8,0.99636,3.53,0.61,10.4,2,2,1,2,2
red,1,7,2.1,0.99584,3.35,0.54,10.5,2,2,1,2,2
red,1,7,5.6,0.9974,3.34,0.76,10.5,2,2,1,2,2
red,1,7,2.3,0.99476,3.39,0.56,10.9,2,2,1,2,2
red,1,7,4.8,0.99633,3.32,0.7,11,2,2,1,2,2
red,1,7,1.6,0.9952,3.5,0.63,11.1,2,2,1,2,2
red,1,7,2.5,0.99572,3.38,0.6,11.3,2,2,1,2,2
red,1,7,2.5,0.99572,3.38,0.6,11.3,2,2,1,2,2
red,1,7,2.5,0.99572,3.38,0.6,11.3,2,2,1,2,2
red,1,7,2.5,0.9962,3.39,0.77,11.4,2,2,1,2,2
red,1,7,2.1,0.9956,3.39,0.84,11.4,2,2,1,2,2
red,1,7,2,0.99479,3.43,0.59,11.5,2,2,1,2,2
red,1,7.1,2.8,0.99682,3.24,0.53,10.3,2,2,1,2,2
red,1,7.1,1.8,0.99634,3.49,0.64,10.4,2,2,1,2,2
red,1,7.1,1.8,0.99634,3.49,0.64,10.4,2,2,1,2,2
red,1,7.1,1.9,0.9956,3.37,0.64,10.4,2,2,1,2,2
red,1,7.1,1.9,0.9956,3.37,0.64,10.4,2,2,1,2,2
red,1,7.1,5.5,0.9973,3.42,0.71,10.5,2,2,1,2,2
red,1,7.1,5.5,0.9973,3.42,0.71,10.5,2,2,1,2,2
red,1,7.1,5.5,0.9973,3.42,0.72,10.5,2,2,1,2,2
red,1,7.1,5.5,0.9973,3.42,0.72,10.5,2,2,1,2,2
red,1,7.1,2.3,0.9955,3.42,0.58,10.7,2,2,1,2,2
red,1,7.1,2.3,0.9955,3.42,0.58,10.7,2,2,1,2,2
red,1,7.1,2.2,0.99522,3.42,0.68,10.8,2,2,1,2,2
red,1,7.1,2.2,0.99517,3.4,0.58,10.9,2,2,1,2,2
red,1,7.1,2.3,0.99514,3.4,0.61,10.9,2,2,1,2,2
red,1,7.1,2.3,0.99514,3.4,0.61,10.9,2,2,1,2,2
red,1,7.1,4.4,0.997,3.41,0.57,11,2,2,1,2,2
red,1,7.1,2.5,0.9962,3.42,0.65,11,2,2,1,2,2
red,1,7.1,2.1,0.99488,3.42,0.55,11.5,2,2,1,2,2
red,1,7.1,2.5,0.99328,3.35,0.54,12.4,2,2,1,2,2
red,1,7.1,2.4,0.99318,3.35,0.66,12.7,2,2,1,2,2
red,1,7.1,2.1,0.99252,3.3,0.53,13.3,2,2,1,2,2
red,1,7.2,2,0.99608,3.39,0.52,10,2,2,1,2,2
red,1,7.2,2.3,0.99568,3.35,0.52,10,2,2,1,2,2
red,1,7.2,1.7,0.996,3.23,1.1,10,2,2,1,2,2
red,1,7.2,2.5,0.99586,3.37,0.54,10.1,2,2,1,2,2
red,1,7.2,2,0.99576,3.44,0.58,10.1,2,2,1,2,2
red,1,7.2,2.3,0.99564,3.38,0.6,10.3,2,2,1,2,2
red,1,7.2,2.3,0.99564,3.38,0.6,10.3,2,2,1,2,2
red,1,7.2,2.6,0.9964,3.39,0.71,11,2,2,1,2,2
red,1,7.2,2.1,0.99534,3.4,0.85,11,2,2,1,2,2
red,1,7.2,2.1,0.99534,3.4,0.85,11,2,2,1,2,2
red,1,7.2,2.1,0.99534,3.4,0.85,11,2,2,1,2,2
red,1,7.2,2.1,0.99534,3.4,0.85,11,2,2,1,2,2
red,1,7.2,2.2,0.9956,3.42,0.72,11.1,2,2,1,2,2
red,1,7.2,2.5,0.9966,3.32,0.79,11.1,2,2,1,2,2
red,1,7.2,5.5,0.99684,3.37,0.68,11.2,2,2,1,2,2
red,1,7.2,2,0.9947,3.23,0.73,11.3,2,2,1,2,2
red,1,7.2,2,0.9947,3.23,0.73,11.3,2,2,1,2,2
red,1,7.2,2,0.99472,3.23,0.76,11.3,2,2,1,2,2
red,1,7.2,2.3,0.99332,3.32,0.51,11.8,2,2,1,2,2
red,1,7.2,1.9,0.995,3.46,0.53,11.8,2,2,1,2,2
red,1,7.2,2.1,0.99323,3.35,0.61,12.1,2,2,1,2,2
red,1,7.2,2.5,0.99439,3.52,0.8,12.4,2,2,1,2,2
red,1,7.2,2.8,0.99356,3.34,0.72,12.9,2,2,1,2,2
red,1,7.3,2,0.99576,3.43,0.54,10,2,2,1,2,2
red,1,7.3,2.1,0.99728,3.3,0.65,10,2,2,1,2,2
red,1,7.3,2.1,0.99728,3.3,0.65,10,2,2,1,2,2
red,1,7.3,2.3,0.99588,3.43,0.62,10.1,2,2,1,2,2
red,1,7.3,3.6,0.9972,3.4,0.63,10.1,2,2,1,2,2
red,1,7.3,2.4,0.9968,3.46,0.59,10.2,2,2,1,2,2
red,1,7.3,2.1,0.9958,3.33,0.53,10.3,2,2,1,2,2
red,1,7.3,5.9,0.9978,3.33,0.83,10.5,2,2,1,2,2
red,1,7.3,5.9,0.9978,3.33,0.83,10.5,2,2,1,2,2
red,1,7.3,1.8,0.99514,3.35,0.58,11,2,2,1,2,2
red,1,7.3,2.5,0.9966,3.36,0.78,11,2,2,1,2,2
red,1,7.3,2.5,0.9966,3.36,0.78,11,2,2,1,2,2
red,1,7.3,2.2,0.99566,3.32,0.68,11.06666667,2,2,1,2,2
red,1,7.3,2.5,0.99648,3.6,0.59,11.1,2,2,1,2,2
red,1,7.3,2.2,0.99566,3.32,0.68,11.1,2,2,1,2,2
red,1,7.3,1.2,0.99331,3.29,0.52,11.5,2,2,1,2,2
red,1,7.3,1.2,0.99331,3.29,0.52,11.5,2,2,1,2,2
red,1,7.3,1.6,0.9935,3.38,0.57,11.7,2,2,1,2,2
red,1,7.3,2.5,0.9952,3.35,0.77,12.1,2,2,1,2,2
red,1,7.3,2.1,0.99418,3.34,0.82,12.9,2,2,1,2,2
red,1,7.4,2.2,0.99756,3.58,0.67,10.2,2,2,1,2,2
red,1,7.4,1.8,0.9956,3.37,0.62,10.4,2,2,1,2,2
red,1,7.4,3,0.9966,3.37,0.51,10.5,2,2,1,2,2
red,1,7.4,1.8,0.99655,3.49,0.68,10.5,2,2,1,2,2
red,1,7.4,1.8,0.99655,3.49,0.68,10.5,2,2,1,2,2
red,1,7.4,4.25,0.9966,3.63,0.54,10.7,2,2,1,2,2
red,1,7.4,2.4,0.99528,3.43,0.59,10.8,2,2,1,2,2
red,1,7.4,2.4,0.99736,3.58,0.69,10.8,2,2,1,2,2
red,1,7.4,2.4,0.99736,3.58,0.69,10.8,2,2,1,2,2
red,1,7.4,2.6,0.99645,3.39,0.68,11,2,2,1,2,2
red,1,7.4,2,0.99562,3.45,0.58,11.3,2,2,1,2,2
red,1,7.4,1.9,0.9961,3.42,0.57,11.5,2,2,1,2,2
red,1,7.4,2.1,0.99388,3.35,0.63,12,2,2,1,2,2
red,1,7.4,2.1,0.99388,3.35,0.63,12,2,2,1,2,2
red,1,7.4,1.8,0.9933,3.38,0.88,13.6,2,2,1,2,2
red,1,7.5,1.6,0.99635,3.38,0.58,10,2,2,1,2,2
red,1,7.5,2.4,0.9965,3.32,0.6,10,2,2,1,2,2
red,1,7.5,1.8,0.995,3.35,0.54,10.1,2,2,1,2,2
red,1,7.5,1.8,0.995,3.35,0.54,10.1,2,2,1,2,2
red,1,7.5,3,0.9967,3.37,0.7,10.3,2,2,1,2,2
red,1,7.5,2.6,0.99592,3.3,0.59,10.4,2,2,1,2,2
red,1,7.5,1.7,0.99538,3.36,0.54,10.5,2,2,1,2,2
red,1,7.5,1.7,0.99538,3.36,0.54,10.5,2,2,1,2,2
red,1,7.5,1.7,0.99538,3.36,0.54,10.5,2,2,1,2,2
red,1,7.5,1.7,0.99538,3.36,0.54,10.5,2,2,1,2,2
red,1,7.5,2.3,0.9972,3.58,0.61,10.5,2,2,1,2,2
red,1,7.5,6.1,0.9978,3.35,0.8,10.5,2,2,1,2,2
red,1,7.5,6.1,0.9978,3.35,0.8,10.5,2,2,1,2,2
red,1,7.5,2.6,0.9968,3.21,0.9,10.5,2,2,1,2,2
red,1,7.5,2.6,0.9965,3.38,0.59,10.7,2,2,1,2,2
red,1,7.5,2.6,0.99557,3.36,0.62,10.8,2,2,1,2,2
red,1,7.5,2.6,0.99557,3.36,0.62,10.8,2,2,1,2,2
red,1,7.5,2.5,0.99632,3.38,0.55,10.9,2,2,1,2,2
red,1,7.5,2.3,0.9951,3.4,0.64,11,2,2,1,2,2
red,1,7.5,3.1,0.9958,3.54,0.6,11.2,2,2,1,2,2
red,1,7.5,2.2,0.99495,3.44,0.72,11.5,2,2,1,2,2
red,1,7.5,3.1,0.99476,3.21,1.03,11.6,2,2,1,2,2
red,1,7.6,2.6,0.9968,3.21,0.57,10,2,2,1,2,2
red,1,7.6,2.7,0.9968,3.21,0.59,10,2,2,1,2,2
red,1,7.6,2.7,0.9971,3.31,0.61,10.1,2,2,1,2,2
red,1,7.6,2.8,0.9955,3.17,0.63,10.2,2,2,1,2,2
red,1,7.6,2.8,0.99693,3.22,0.55,10.3,2,2,1,2,2
red,1,7.6,1.7,0.99589,3.37,0.51,10.4,2,2,1,2,2
red,1,7.6,3,0.9964,3.32,0.57,10.5,2,2,1,2,2
red,1,7.6,1.7,0.99612,3.31,0.62,10.7,2,2,1,2,2
red,1,7.6,2,0.99578,3.44,0.64,10.9,2,2,1,2,2
red,1,7.6,1.9,0.99521,3.36,0.59,11,2,2,1,2,2
red,1,7.6,2.5,0.9957,3.3,0.58,11.2,2,2,1,2,2
red,1,7.6,2.1,0.99533,3.48,0.65,11.4,2,2,1,2,2
red,1,7.6,2.3,0.99502,3.32,0.62,11.5,2,2,1,2,2
red,1,7.6,2.5,0.99538,3.51,0.71,11.7,2,2,1,2,2
red,1,7.6,2,0.9963,3.44,0.82,11.9,2,2,1,2,2
red,1,7.6,2.7,0.99538,3.44,0.54,12.2,2,2,1,2,2
red,1,7.6,2.5,0.99356,3.22,0.59,12.5,2,2,1,2,2
red,1,7.7,2,0.99697,3.39,0.62,10.1,2,2,1,2,2
red,1,7.7,2.4,0.9963,3.29,0.6,10.2,2,2,1,2,2
red,1,7.7,2.2,0.9964,3.35,0.65,10.2,2,2,1,2,2
red,1,7.7,1.8,0.99568,3.32,0.56,10.5,2,2,1,2,2
red,1,7.7,1.8,0.99568,3.32,0.56,10.5,2,2,1,2,2
red,1,7.7,2.6,0.99615,3.37,0.58,10.5,2,2,1,2,2
red,1,7.7,2.6,0.99615,3.37,0.58,10.5,2,2,1,2,2
red,1,7.7,2.6,0.99639,3.38,0.56,10.8,2,2,1,2,2
red,1,7.7,2,0.9951,3.15,0.79,10.9,2,2,1,2,2
red,1,7.7,2,0.9952,3.28,0.9,11.3,2,2,1,2,2
red,1,7.7,2.1,0.99371,3.41,0.57,11.8,2,2,1,2,2
red,1,7.7,2.1,0.99371,3.41,0.57,11.8,2,2,1,2,2
red,1,7.7,2.7,0.9947,3.37,0.78,11.8,2,2,1,2,2
red,1,7.7,1.8,0.9971,3.41,0.71,12.1,2,2,1,2,2
red,1,7.8,1.7,0.9964,3.33,0.56,10,2,2,1,2,2
red,1,7.8,2.3,0.9975,3.43,0.59,10,2,2,1,2,2
red,1,7.8,6,0.9984,3.37,0.69,10.1,2,2,1,2,2
red,1,7.8,2.8,0.9974,3.31,0.64,10.3,2,2,1,2,2
red,1,7.8,1.9,0.9959,3.31,0.56,10.4,2,2,1,2,2
